序号,时间节点,年代分类,年代名称,事件描述,图片说明,原始图片URL,本地图片路径,本地文件名
69,1954年,founding,建国初期,毛泽东和孩子们在一起,,https://p5.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122611085891701.jpg,images/node_069_1954.jpg,node_069_1954.jpg
70,1954年,founding,建国初期,毛泽东在绍兴,,https://p5.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122611091465987.jpg,images/node_070_1954.jpg,node_070_1954.jpg
71,1954年,founding,建国初期,毛泽东和陈云在北戴河,,https://p2.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122611102841368.jpg,images/node_071_1954.jpg,node_071_1954.jpg
72,1954年,founding,建国初期,毛泽东在北戴河,,https://p3.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122611103843790.jpg,images/node_072_1954.jpg,node_072_1954.jpg
73,1955年3月,founding,建国初期,毛泽东在中国共产党全国代表会议上 致开幕词,,https://p4.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122611110736751.jpg,images/node_073_19553.jpg,node_073_19553.jpg
74,1956年1月12日,founding,建国初期,毛泽东视察国营南京无线电厂,,https://p5.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122611112893019.jpg,images/node_074_1956112.jpg,node_074_1956112.jpg
75,1956年2月,founding,建国初期,毛泽东和物理学家钱学森在宴会上,,https://p1.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122611114446970.jpg,images/node_075_19562.jpg,node_075_19562.jpg
76,1956年,founding,建国初期,毛泽东会见新疆维吾尔族舞蹈家康巴尔汉,,https://p3.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122611122587785.jpg,images/node_076_1956.jpg,node_076_1956.jpg
77,1958年2月,construction,社会主义建设时期,毛泽东在长春第一汽车制造厂 观看国产解放牌汽车,,https://p2.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122611123598011.jpg,images/node_077_19582.jpg,node_077_19582.jpg
78,1958年4月,construction,社会主义建设时期,毛泽东在广东农具改革展览会上 观看新式渔网,,https://p2.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122611134031137.jpg,images/node_078_19584.jpg,node_078_19584.jpg
79,1958年5月,construction,社会主义建设时期,毛泽东在北京十三陵水库工地 参加劳动，右二为彭真,,https://p5.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122611140267673.jpg,images/node_079_19585.jpg,node_079_19585.jpg
80,1958年9月,construction,社会主义建设时期,毛泽东乘坐鱼雷快艇,,https://p5.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122611145129718.jpg,images/node_080_19589.jpg,node_080_19589.jpg
81,1958年,construction,社会主义建设时期,毛泽东和北京师范大学教育系师生 一起交谈,,https://p4.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122611150767465.jpg,images/node_081_1958.jpg,node_081_1958.jpg
82,1958年,construction,社会主义建设时期,毛泽东在广西南宁参加群众游园大会 同各族人民会面,,https://p5.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122611152465674.jpg,images/node_082_1958.jpg,node_082_1958.jpg
83,1958年,construction,社会主义建设时期,毛泽东在河南农村视察,,https://p4.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122611154196922.jpg,images/node_083_1958.jpg,node_083_1958.jpg
84,1960年3月,construction,社会主义建设时期,毛泽东和全国工业劳动模范孟泰握手,,https://p3.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122611155588780.jpg,images/node_084_19603.jpg,node_084_19603.jpg
85,1960年7月,construction,社会主义建设时期,毛泽东和作家巴金（右一）、 京剧表演艺术家周信芳（右二）一起,,https://p5.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122611161517877.jpg,images/node_085_19607.jpg,node_085_19607.jpg
86,1960年,construction,社会主义建设时期,毛泽东和贺龙,,https://p4.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122611162856565.jpg,images/node_086_1960.jpg,node_086_1960.jpg
87,1961年,construction,社会主义建设时期,毛泽东在读书,,https://p2.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122611164254148.jpg,images/node_087_1961.jpg,node_087_1961.jpg
88,1961年,construction,社会主义建设时期,毛泽东在庐山阅览图书,,https://p1.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122611165562830.jpg,images/node_088_1961.jpg,node_088_1961.jpg
